model,model_id,fold,LAMBDA_LASSO,lasso_lambda,LAMBDA_NETWORK,MSE,Turnover_econ,Turnover_seq,Sparsity,n_alive,Density,FitTime_s,LAMBDA_EXOG,self_free,NETWORK_THRESHOLD,USE_LAST_DAY,LAMBDA_TURNOVER
M4,4,2,0.0001,0.0001,0.0005,1.8956463078753287e-05,1.0621645959685189,0.3892475362254957,0.9546004477740463,21089,0.13168745759173234,11.884963512420654,0.0005,True,0.85,True,
M4,4,3,0.0001,0.0001,0.0005,1.6013839012162396e-05,0.9681492806835839,0.332418806647036,0.9715534314991819,13214,0.07509525549350175,10.152616500854492,0.0005,True,0.85,True,
M4,4,1,0.0001,0.0001,0.001,1.9812730610545722e-05,1.0508875562958386,0.3619399291602326,0.9855205373288556,6726,0.030455660525079597,5.374728679656982,0.0005,True,0.85,False,
M4,4,2,0.0001,0.0001,0.001,1.8643509839154833e-05,1.023799151046878,0.3562614467145273,0.9855205373288556,6726,0.030716634479878907,6.693609714508057,0.0005,True,0.85,False,
M4,4,3,0.0001,0.0001,0.001,1.5910306431655727e-05,0.9540373033662758,0.3188670406508619,0.9862589339533282,6383,0.028876768098543764,8.2589852809906,0.0005,True,0.85,False,
M4,4,1,0.0001,0.0001,0.001,2.003427707382824e-05,1.069267961046788,0.3819258715463742,0.9755511065185568,11357,0.05766219531290777,6.489706993103027,0.0005,True,0.85,True,
M4,4,2,0.0001,0.0001,0.001,1.895651461000636e-05,1.0621615203611507,0.3892486859072177,0.9546047532937225,21087,0.13168745759173234,11.462921142578125,0.0005,True,0.85,True,
M4,4,3,0.0001,0.0001,0.001,1.6013839942114956e-05,0.9681492359296127,0.33241889668637536,0.9715555842590201,13213,0.07509525549350175,9.985634803771973,0.0005,True,0.85,True,
M4,4,1,0.0001,0.0001,0.005,1.9812730610544394e-05,1.0508875562976063,0.3619399291603209,0.9855205373288556,6726,0.030455660525079597,2.9358367919921875,0.0005,True,0.85,False,
M4,4,2,0.0001,0.0001,0.005,1.864350983909809e-05,1.023799151043835,0.3562614467129289,0.9855205373288556,6726,0.030716634479878907,3.7093262672424316,0.0005,True,0.85,False,
M4,4,3,0.0001,0.0001,0.005,1.5910306431653745e-05,0.9540373033661805,0.31886704064924,0.9862589339533282,6383,0.028876768098543764,4.399973392486572,0.0005,True,0.85,False,
M4,4,1,0.0001,0.0001,0.005,2.0034277073838687e-05,1.0692679610487061,0.38192587154445384,0.9755511065185568,11357,0.05766219531290777,3.5086164474487305,0.0005,True,0.85,True,
M4,4,2,0.0001,0.0001,0.005,1.8956514610004972e-05,1.0621615203607735,0.3892486859085593,0.9546047532937225,21087,0.13168745759173234,6.2961201667785645,0.0005,True,0.85,True,
M4,4,3,0.0001,0.0001,0.005,1.6013839942111703e-05,0.9681492359309314,0.3324188966837573,0.9715555842590201,13213,0.07509525549350175,5.438746929168701,0.0005,True,0.85,True,
M4,4,1,0.0001,0.0001,0.01,1.9812730610544394e-05,1.0508875562976063,0.3619399291603209,0.9855205373288556,6726,0.030455660525079597,2.915313720703125,0.0005,True,0.85,False,
