model,model_id,LAMBDA_LASSO,LAMBDA_EXOG,LAMBDA_NETWORK,NETWORK_THRESHOLD,lasso_lambda,self_free,USE_LAST_DAY,mean_val_mse,std_val_mse,mean_turnover_econ,mean_turnover_seq,mean_sparsity,mean_n_alive,mean_density,mean_fit_time_s
M4,4,0.0001,0.0005,0.005,0.9,0.0001,True,False,1.810086371992399e-05,1.97882887736652e-06,0.9998288350848045,0.3406576820142646,0.9917391429145498,3837.3333333333335,0.013805522208883555,3.8852118651072183
M4,4,0.0001,0.0005,0.005,0.9,0.0001,True,True,1.8187048752130256e-05,2.0373943350634077e-06,1.0173689908239856,0.3559591959447514,0.9781093027928471,10168.666666666666,0.052264384014475355,4.885924180348714
M4,4,0.0003,0.0005,0.005,0.9,0.0003,True,False,1.808011005991647e-05,1.9318472757060104e-06,0.9891025250761244,0.3383752402712686,0.9959384597720945,1886.6666666666667,0.013805522208883555,3.2980758349100747
M4,4,0.0003,0.0005,0.005,0.9,0.0003,True,True,1.8060192484617424e-05,1.927474918601858e-06,0.9913021648384177,0.33738525946068626,0.9941136370159879,2734.3333333333335,0.052264384014475355,3.532409111658732
M4,4,0.0005,0.0005,0.005,0.9,0.0005,True,False,1.809594359923752e-05,1.9236931524854046e-06,0.9868078301186506,0.3401325307476622,0.9972121760096444,1295.0,0.013805522208883555,3.07541553179423
M4,4,0.0005,0.0005,0.005,0.9,0.0005,True,True,1.8091486785563163e-05,1.921449049632083e-06,0.9869404538270089,0.33983251013894006,0.9970607652343638,1365.3333333333333,0.052264384014475355,3.438319285710653
M4,4,0.0001,0.0005,0.01,0.9,0.0001,True,False,1.810086371992399e-05,1.97882887736652e-06,0.9998288350848045,0.3406576820142646,0.9917391429145498,3837.3333333333335,0.013805522208883555,3.7470271587371826
M4,4,0.0001,0.0005,0.01,0.9,0.0001,True,True,1.8187048752130256e-05,2.0373943350634077e-06,1.0173689908239856,0.3559591959447514,0.9781093027928471,10168.666666666666,0.052264384014475355,4.680995941162109
M4,4,0.0003,0.0005,0.01,0.9,0.0003,True,False,1.808011005991647e-05,1.9318472757060104e-06,0.9891025250761244,0.3383752402712686,0.9959384597720945,1886.6666666666667,0.013805522208883555,3.287508487701416
M4,4,0.0003,0.0005,0.01,0.9,0.0003,True,True,1.8060192484617424e-05,1.927474918601858e-06,0.9913021648384177,0.33738525946068626,0.9941136370159879,2734.3333333333335,0.052264384014475355,3.410819927851359
M4,4,0.0005,0.0005,0.01,0.9,0.0005,True,False,1.809594359923752e-05,1.9236931524854046e-06,0.9868078301186506,0.3401325307476622,0.9972121760096444,1295.0,0.013805522208883555,3.1020590464274087
M4,4,0.0005,0.0005,0.01,0.9,0.0005,True,True,1.8091486785563163e-05,1.921449049632083e-06,0.9869404538270089,0.33983251013894006,0.9970607652343638,1365.3333333333333,0.052264384014475355,3.1023713747660318
